('Total Revenue', '254,190,000', '245,122,000', '211,915,000', '198,270,000', '168,088,000')
         849098 function calls (822706 primitive calls) in 1.531 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      495    0.000    0.000    0.000    0.000 feedparser.py:129(__next__)
      442    0.000    0.000    0.000    0.000 socket.py:94(<lambda>)
      441    0.000    0.000    0.000    0.000 socket.py:89(<lambda>)
       76    0.000    0.000    0.000    0.000 _parser.py:273(getuntil)
      404    0.000    0.000    0.000    0.000 _compiler.py:573(isstring)
        7    0.000    0.000    0.000    0.000 {method 'readlines' of '_io._IOBase' objects}
      226    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1128(find_spec)
      218    0.000    0.000    0.000    0.000 {built-in method builtins.any}
      256    0.000    0.000    0.000    0.000 {method '_checkReadable' of '_io._IOBase' objects}
       69    0.000    0.000    0.000    0.000 css_parser.py:532(parse_tag_pattern)
      263    0.000    0.000    0.085    0.000 __init__.py:287(compile)
       25    0.000    0.000    0.001    0.000 typing.py:753(Union)
      231    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:420(__exit__)
       12    0.000    0.000    0.000    0.000 enum.py:1455(_missing_)
      334    0.000    0.000    0.000    0.000 enum.py:58(_is_sunder)
      941    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
      229    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
    84/42    0.000    0.000    0.099    0.002 <frozen importlib._bootstrap>:1390(_handle_fromlist)
        4    0.000    0.000    0.012    0.003 utils.py:1(<module>)
      549    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
      172    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1233(path_stats)
       35    0.000    0.000    0.000    0.000 ipaddress.py:1661(_ip_int_from_string)
      546    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      226    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
        1    0.000    0.000    0.000    0.000 {built-in method _imp.get_frozen_object}
    76/70    0.000    0.000    0.002    0.000 typing.py:426(inner)
      202    0.000    0.000    0.000    0.000 _parser.py:954(fix_flags)
      273    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
      256    0.000    0.000    0.000    0.000 {method '_checkClosed' of '_io._IOBase' objects}
      160    0.000    0.000    0.001    0.000 typing.py:164(_type_convert)
      275    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
      229    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:982(find_spec)
        1    0.000    0.000    0.000    0.000 status_codes.py:109(_init)
       50    0.000    0.000    0.000    0.000 typing.py:260(_collect_type_parameters)
    42/30    0.000    0.000    0.008    0.000 css_parser.py:569(parse_pseudo_class)
      172    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
        2    0.000    0.000    0.001    0.001 parser.py:56(parsestr)
      594    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
      230    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:599(__init__)
      408    0.000    0.000    0.000    0.000 typing.py:1096(__eq__)
        2    0.000    0.000    0.000    0.000 feedparser.py:472(_parse_headers)
        1    0.000    0.000    0.003    0.003 socket.py:1(<module>)
       32    0.000    0.000    0.117    0.004 response.py:1151(_handle_chunk)
      191    0.000    0.000    0.003    0.000 _parser.py:97(closegroup)
        1    0.000    0.000    0.000    0.000 stringprep.py:1(<module>)
       77    0.000    0.000    0.000    0.000 css_types.py:267(__init__)
        1    0.000    0.000    0.000    0.000 quoprimime.py:1(<module>)
        2    0.000    0.000    0.002    0.001 cookies.py:1(<module>)
      220    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:190(_path_abspath)
       46    0.000    0.000    0.888    0.019 {method 'readline' of '_io.BufferedReader' objects}
       23    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1487(_path_hooks)
      326    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
       23    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1598(__init__)
       91    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
      204    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
      220    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:185(_path_isabs)
       66    0.000    0.000    0.001    0.000 _lxml.py:353(comment)
       52    0.000    0.000    0.000    0.000 functools.py:541(decorating_function)
      365    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
       88    0.000    0.000    0.000    0.000 ipaddress.py:1213(_parse_octet)
       31    0.000    0.000    0.000    0.000 enum.py:1055(_add_member_)
  136/131    0.000    0.000    0.001    0.000 css_parser.py:375(_freeze_relations)
        1    0.000    0.000    0.024    0.024 dammit.py:67(EntitySubstitution)
       35    0.000    0.000    0.000    0.000 ipaddress.py:2307(__init__)
      273    0.000    0.000    0.000    0.000 {built-in method _weakref._remove_dead_weakref}
       23    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1675(_fill_cache)
        1    0.000    0.000    0.047    0.047 css_parser.py:1(<module>)
        6    0.000    0.000    0.000    0.000 url.py:227(_encode_invalid_chars)
    34/16    0.000    0.000    0.116    0.007 {built-in method builtins.__import__}
        1    0.000    0.000    0.000    0.000 readers.py:157(_resolve_zip_path)
       25    0.000    0.000    0.000    0.000 typing.py:379(_remove_dups_flatten)
       23    0.000    0.000    0.000    0.000 <frozen zipimport>:68(__init__)
       22    0.000    0.000    0.000    0.000 util.py:16(lower)
      732    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
      274    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
      249    0.000    0.000    0.000    0.000 _compiler.py:31(_combine_flags)
       53    0.000    0.000    0.001    0.000 <frozen abc>:105(__new__)
       33    0.000    0.000    0.000    0.000 typing.py:3790(__getattr__)
      202    0.000    0.000    0.000    0.000 _parser.py:76(__init__)
      281    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
       56    0.000    0.000    0.000    0.000 ipaddress.py:533(_split_addr_prefix)
      257    0.000    0.000    0.000    0.000 socket.py:744(readable)
        2    0.000    0.000    0.000    0.000 request.py:2495(getproxies_environment)
      358    0.000    0.000    0.000    0.000 _compiler.py:431(_get_iscased)
        7    0.000    0.000    0.002    0.000 typing.py:2975(_make_nmtuple)
        9    0.000    0.000    0.000    0.000 {method 'write' of '_io.StringIO' objects}
       54    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
       49    0.000    0.000    0.117    0.002 client.py:633(_safe_read)
    38/29    0.000    0.000    0.008    0.000 css_parser.py:732(parse_pseudo_open)
       69    0.000    0.000    0.000    0.000 css_types.py:251(__init__)
       49    0.000    0.000    0.000    0.000 typing.py:1307(__init__)
       52    0.000    0.000    0.000    0.000 ipaddress.py:1930(__init__)
        1    0.000    0.000    0.003    0.003 ssl.py:1(<module>)
      462    0.000    0.000    0.000    0.000 css_types.py:73(__hash__)
       51    0.000    0.000    0.000    0.000 _policybase.py:301(header_source_parse)
       14    0.000    0.000    0.000    0.000 message.py:494(get)
