('Total Revenue', '254,190,000', '245,122,000', '211,915,000', '198,270,000', '168,088,000')
         1038380 function calls (1006079 primitive calls) in 2.498 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      352    0.000    0.000    0.000    0.000 typing.py:1358(__getattr__)
      209    0.000    0.000    0.026    0.000 _compiler.py:576(_code)
      712    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1500(_path_importer_cache)
      250    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:642(_get_cached)
     2671    0.000    0.000    0.000    0.000 _lxml.py:308(_prefix_for_namespace)
      328    0.000    0.000    1.820    0.006 ssl.py:1129(read)
      224    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:730(_validate_timestamp_pyc)
       66    0.000    0.000    0.003    0.000 typing.py:753(Union)
  136/131    0.000    0.000    0.002    0.000 css_parser.py:385(freeze)
      329    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:79(__init__)
        1    0.000    0.000    0.000    0.000 idnadata.py:1(<module>)
      422    0.000    0.000    0.000    0.000 enum.py:37(_is_descriptor)
       27    0.000    0.000    0.002    0.000 enum.py:498(__new__)
  230/188    0.000    0.000    0.000    0.000 _compiler.py:439(_get_literal_prefix)
      466    0.000    0.000    0.000    0.000 enum.py:78(_is_private)
      688    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:645(parent)
       24    0.000    0.000    0.004    0.000 dataclasses.py:470(add_fns_to_class)
      896    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:139(<genexpr>)
      336    0.000    0.000    0.000    0.000 {method 'sub' of 're.Pattern' objects}
      288    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap>:416(__enter__)
      387    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:155(_path_is_mode_type)
     1522    0.000    0.000    0.000    0.000 _connection.py:212(their_state)
      332    0.000    0.000    0.000    0.000 _receivebuffer.py:67(_extract)
      842    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1226(__exit__)
      842    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1222(__enter__)
      285    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(__init__)
      330    0.000    0.000    0.000    0.000 enum.py:695(__call__)
       57    0.000    0.000    0.001    0.000 dataclasses.py:768(_get_field)
      637    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      135    0.000    0.000    0.000    0.000 dataclasses.py:709(_is_type)
      328    0.000    0.000    0.000    0.000 _connection.py:352(receive_data)
      225    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:674(_check_name_wrapper)
     1894    0.000    0.000    0.000    0.000 _exceptions.py:7(map_exceptions)
      291    0.000    0.000    0.000    0.000 _connection.py:330(_respond_to_state_changes)
      511    0.000    0.000    0.000    0.000 enum.py:47(_is_dunder)
      105    0.000    0.000    0.000    0.000 enum.py:1055(_add_member_)
      102    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
     1165    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
      200    0.000    0.000    0.001    0.000 typing.py:1307(__init__)
      279    0.000    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:1551(find_spec)
     1064    0.000    0.000    0.000    0.000 {method 'group' of 're.Match' objects}
      329    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:82(remove)
     1456    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
      835    0.000    0.000    0.000    0.000 _parser.py:82(groups)
      465    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
      205    0.000    0.000    0.000    0.000 _parser.py:85(opengroup)
      908    0.000    0.000    0.000    0.000 typing.py:1437(__eq__)
     1456    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
      209    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
     1649    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
      354    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:164(_path_isfile)
       89    0.000    0.000    0.000    0.000 dataclasses.py:437(add_fn)
      465    0.000    0.000    0.000    0.000 feedparser.py:79(readline)
       34    0.000    0.000    0.001    0.000 typing.py:1207(_generic_class_getitem)
      226    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
       40    0.000    0.000    0.000    0.000 typing.py:1256(_generic_init_subclass)
      656    0.000    0.000    0.000    0.000 _receivebuffer.py:60(__len__)
      474    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:632(cached)
      694    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      328    0.000    0.000    0.000    0.000 _receivebuffer.py:53(__iadd__)
