('Total Revenue', '254,190,000', '245,122,000', '211,915,000', '198,270,000', '168,088,000')
         849322 function calls (822918 primitive calls) in 1.870 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      136    0.000    0.000    0.000    0.000 css_parser.py:359(__init__)
  136/131    0.000    0.000    0.001    0.000 css_parser.py:375(_freeze_relations)
      136    0.000    0.000    0.002    0.000 css_types.py:203(__init__)
      136    0.000    0.000    0.000    0.000 typing.py:1765(__eq__)
      135    0.000    0.000    0.000    0.000 {method 'isascii' of 'str' objects}
      134    0.001    0.000    0.002    0.000 _compiler.py:470(_get_charset_prefix)
      131    0.000    0.000    0.000    0.000 {method 'upper' of 'str' objects}
      130    0.000    0.000    0.000    0.000 enum.py:917(<lambda>)
      127    0.000    0.000    0.000    0.000 ssl.py:125(<lambda>)
      127    0.000    0.000    0.000    0.000 ssl.py:130(<lambda>)
      127    0.000    0.000    0.000    0.000 ssl.py:135(<lambda>)
      127    0.000    0.000    0.000    0.000 ssl.py:140(<lambda>)
      127    0.000    0.000    0.000    0.000 ssl.py:145(<lambda>)
      127    0.000    0.000    0.000    0.000 ssl.py:150(<lambda>)
      122    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
      120    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
      116    0.000    0.000    0.000    0.000 __init__.py:432(<genexpr>)
      114    0.000    0.000    0.000    0.000 {method 'isdigit' of 'str' objects}
      112    0.000    0.000    0.000    0.000 ipaddress.py:574(__int__)
      108    0.000    0.000    0.000    0.000 enum.py:199(__get__)
      108    0.000    0.000    0.000    0.000 enum.py:1333(value)
      107    0.000    0.000    0.000    0.000 constant.py:398(<lambda>)
      103    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
       99    0.000    0.000    0.000    0.000 enum.py:1592(__or__)
       98    0.000    0.000    0.000    0.000 dammit.py:134(<genexpr>)
       97    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
       97    0.000    0.000    0.000    0.000 {built-in method builtins.all}
       91    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
